,N,f,Fisher,kappa,inc_org
0,472,0.10000000000000001,False,35,72
1,151,0.15000000000000002,False,20,77
2,64,0.20000000000000004,False,15,35
3,116,0.25000000000000006,False,10,34
4,495,0.30000000000000004,False,15,39
5,226,0.35000000000000009,False,35,60
6,119,0.40000000000000013,False,20,17
7,350,0.45000000000000007,False,75,46
8,175,0.50000000000000011,False,60,87
9,19,0.55000000000000016,True,40,55
10,398,0.6000000000000002,False,5,9
11,130,0.65000000000000013,False,60,18
12,127,0.70000000000000018,False,25,58
13,135,0.75000000000000022,True,45,72
14,56,0.80000000000000016,False,20,47
15,350,0.8500000000000002,True,60,38
16,233,0.90000000000000024,True,25,75
17,30,0.95000000000000029,True,10,53
18,383,0.10000000000000001,False,75,17
19,473,0.15000000000000002,False,35,28
20,252,0.20000000000000004,False,65,7
21,314,0.25000000000000006,False,10,9
22,55,0.30000000000000004,False,30,50
23,431,0.35000000000000009,False,35,64
24,293,0.40000000000000013,False,10,52
25,320,0.45000000000000007,False,15,50
26,93,0.50000000000000011,False,55,53
27,320,0.55000000000000016,True,75,67
28,176,0.6000000000000002,False,15,29
29,44,0.65000000000000013,True,5,77
30,481,0.70000000000000018,True,60,60
31,461,0.75000000000000022,True,45,69
32,347,0.80000000000000016,False,75,45
33,59,0.8500000000000002,True,30,58
34,479,0.90000000000000024,True,20,35
35,214,0.95000000000000029,True,10,3
36,449,0.10000000000000001,False,30,44
37,415,0.15000000000000002,False,5,74
38,323,0.20000000000000004,False,35,42
39,130,0.25000000000000006,False,10,66
40,417,0.30000000000000004,False,10,1
41,126,0.35000000000000009,False,55,89
42,433,0.40000000000000013,False,15,33
43,58,0.45000000000000007,True,40,73
44,399,0.50000000000000011,False,30,45
45,361,0.55000000000000016,False,70,66
46,237,0.6000000000000002,True,75,78
47,408,0.65000000000000013,False,50,34
48,368,0.70000000000000018,True,10,89
49,141,0.75000000000000022,False,60,37
50,248,0.80000000000000016,False,5,42
51,207,0.8500000000000002,True,40,16
52,38,0.90000000000000024,True,40,51
53,126,0.95000000000000029,True,45,0
54,376,0.10000000000000001,False,70,12
55,192,0.15000000000000002,False,35,86
56,306,0.20000000000000004,False,15,61
57,479,0.25000000000000006,False,5,89
58,188,0.30000000000000004,False,60,44
59,308,0.35000000000000009,False,30,4
60,437,0.40000000000000013,False,45,21
61,218,0.45000000000000007,False,5,56
62,378,0.50000000000000011,False,15,41
63,251,0.55000000000000016,False,60,54
64,159,0.6000000000000002,True,40,33
65,437,0.65000000000000013,False,75,35
66,446,0.70000000000000018,False,70,31
67,413,0.75000000000000022,False,30,43
68,299,0.80000000000000016,True,50,44
69,401,0.8500000000000002,True,15,67
70,312,0.90000000000000024,True,55,2
71,41,0.95000000000000029,True,20,39
72,102,0.10000000000000001,False,5,29
73,382,0.15000000000000002,False,30,62
74,351,0.20000000000000004,False,30,59
75,211,0.25000000000000006,False,70,38
76,120,0.30000000000000004,False,65,31
77,412,0.35000000000000009,False,10,68
78,424,0.40000000000000013,False,50,63
79,153,0.45000000000000007,False,25,2
80,248,0.50000000000000011,False,55,55
81,414,0.55000000000000016,False,70,6
82,374,0.6000000000000002,False,20,35
83,256,0.65000000000000013,False,40,49
84,39,0.70000000000000018,True,55,86
85,343,0.75000000000000022,False,60,12
86,371,0.80000000000000016,True,15,49
87,395,0.8500000000000002,True,5,66
88,344,0.90000000000000024,True,30,67
89,146,0.95000000000000029,False,45,62
90,25,0.10000000000000001,True,20,89
91,220,0.15000000000000002,False,55,61
92,388,0.20000000000000004,False,50,70
93,479,0.25000000000000006,False,50,63
94,72,0.30000000000000004,False,5,77
95,165,0.35000000000000009,False,5,26
96,31,0.40000000000000013,True,75,26
97,486,0.45000000000000007,False,60,57
98,33,0.50000000000000011,True,20,67
99,71,0.55000000000000016,False,25,21
100,377,0.6000000000000002,False,20,19
101,273,0.65000000000000013,False,55,8
102,197,0.70000000000000018,True,10,43
103,20,0.75000000000000022,True,10,76
104,340,0.80000000000000016,False,55,26
105,373,0.8500000000000002,True,35,61
106,56,0.90000000000000024,True,10,8
107,460,0.95000000000000029,True,65,30
108,41,0.10000000000000001,False,40,31
109,53,0.15000000000000002,False,25,18
110,208,0.20000000000000004,False,20,20
111,98,0.25000000000000006,False,25,61
112,384,0.30000000000000004,False,35,9
113,90,0.35000000000000009,False,30,79
114,374,0.40000000000000013,False,30,24
115,405,0.45000000000000007,False,75,23
116,133,0.50000000000000011,False,45,85
117,388,0.55000000000000016,True,60,71
118,140,0.6000000000000002,False,15,40
119,296,0.65000000000000013,True,25,85
120,321,0.70000000000000018,False,75,16
121,193,0.75000000000000022,True,60,71
122,230,0.80000000000000016,True,5,46
123,48,0.8500000000000002,True,55,28
124,318,0.90000000000000024,False,55,46
125,142,0.95000000000000029,True,15,21
126,21,0.10000000000000001,True,65,88
127,369,0.15000000000000002,False,15,38
128,36,0.20000000000000004,False,45,60
129,483,0.25000000000000006,False,15,52
